returned,month,county,year,date,day,sent
709,7,la crosse,2018,2018/7/31,31,1645
36,7,lafayette,2018,2018/7/31,31,108
93,7,langlade,2018,2018/7/31,31,169
181,7,lincoln,2018,2018/7/31,31,323
697,7,manitowoc,2018,2018/7/31,31,1121
1018,7,marathon,2018,2018/7/31,31,1800
245,7,marinette,2018,2018/7/31,31,439
74,7,marquette,2018,2018/7/31,31,114
0,7,menominee,2018,2018/7/31,31,0
6312,7,milwaukee,2018,2018/7/31,31,13005
160,7,monroe,2018,2018/7/31,31,304
224,7,oconto,2018,2018/7/31,31,369
250,7,oneida,2018,2018/7/31,31,626
1203,7,outagamie,2018,2018/7/31,31,2223
1010,7,ozaukee,2018,2018/7/31,31,1798
2,7,pepin,2018,2018/7/31,31,12
94,7,pierce,2018,2018/7/31,31,259
140,7,polk,2018,2018/7/31,31,291
340,7,portage,2018,2018/7/31,31,641
46,7,price,2018,2018/7/31,31,89
1219,7,racine,2018,2018/7/31,31,3073
34,7,richland,2018,2018/7/31,31,93
947,7,rock,2018,2018/7/31,31,1640
65,7,rusk,2018,2018/7/31,31,117
337,7,st. croix,2018,2018/7/31,31,733
462,7,sauk,2018,2018/7/31,31,757
81,7,sawyer,2018,2018/7/31,31,195
202,7,shawano,2018,2018/7/31,31,320
826,7,sheboygan,2018,2018/7/31,31,1481
83,7,taylor,2018,2018/7/31,31,142
34,7,trempealeau,2018,2018/7/31,31,99
102,7,vernon,2018,2018/7/31,31,220
159,7,vilas,2018,2018/7/31,31,294
476,7,walworth,2018,2018/7/31,31,1362
80,7,washburn,2018,2018/7/31,31,156
923,7,washington,2018,2018/7/31,31,1786
3472,7,waukesha,2018,2018/7/31,31,6674
374,7,waupaca,2018,2018/7/31,31,581
122,7,waushara,2018,2018/7/31,31,235
1175,7,winnebago,2018,2018/7/31,31,2117
601,7,wood,2018,2018/7/31,31,1074
96,8,adams,2018,2018/8/8,8,156
171,8,ashland,2018,2018/8/8,8,279
216,8,barron,2018,2018/8/8,8,342
101,8,bayfield,2018,2018/8/8,8,141
3426,8,brown,2018,2018/8/8,8,4832
77,8,buffalo,2018,2018/8/8,8,112
78,8,burnett,2018,2018/8/8,8,138
522,8,calumet,2018,2018/8/8,8,706
503,8,chippewa,2018,2018/8/8,8,714
129,8,clark,2018,2018/8/8,8,186
484,8,columbia,2018,2018/8/8,8,678
92,8,crawford,2018,2018/8/8,8,155
10612,8,dane,2018,2018/8/8,8,14211
787,8,dodge,2018,2018/8/8,8,1055
371,8,door,2018,2018/8/8,8,537
492,8,douglas,2018,2018/8/8,8,861
298,8,dunn,2018,2018/8/8,8,469
1394,8,eau claire,2018,2018/8/8,8,1854
25,8,florence,2018,2018/8/8,8,41
1083,8,fond du lac,2018,2018/8/8,8,1692
125,8,forest,2018,2018/8/8,8,185
281,8,grant,2018,2018/8/8,8,644
231,8,green,2018,2018/8/8,8,373
157,8,green lake,2018,2018/8/8,8,194
231,8,iowa,2018,2018/8/8,8,331
100,8,iron,2018,2018/8/8,8,141
51,8,jackson,2018,2018/8/8,8,87
638,8,jefferson,2018,2018/8/8,8,888
44,8,juneau,2018,2018/8/8,8,200
2382,8,kenosha,2018,2018/8/8,8,3430
233,8,kewaunee,2018,2018/8/8,8,314
1573,8,la crosse,2018,2018/8/8,8,1983
81,8,lafayette,2018,2018/8/8,8,132
127,8,langlade,2018,2018/8/8,8,197
259,8,lincoln,2018,2018/8/8,8,405
933,8,manitowoc,2018,2018/8/8,8,1265
1487,8,marathon,2018,2018/8/8,8,2169
368,8,marinette,2018,2018/8/8,8,529
107,8,marquette,2018,2018/8/8,8,143
0,8,menominee,2018,2018/8/8,8,0
11656,8,milwaukee,2018,2018/8/8,8,17009
305,8,monroe,2018,2018/8/8,8,427
328,8,oconto,2018,2018/8/8,8,433
432,8,oneida,2018,2018/8/8,8,723
2141,8,outagamie,2018,2018/8/8,8,2990
1928,8,ozaukee,2018,2018/8/8,8,2556
7,8,pepin,2018,2018/8/8,8,20
207,8,pierce,2018,2018/8/8,8,383
239,8,polk,2018,2018/8/8,8,374
656,8,portage,2018,2018/8/8,8,926
98,8,price,2018,2018/8/8,8,141
2462,8,racine,2018,2018/8/8,8,3934
61,8,richland,2018,2018/8/8,8,115
1506,8,rock,2018,2018/8/8,8,2175
131,8,rusk,2018,2018/8/8,8,190
586,8,st. croix,2018,2018/8/8,8,943
672,8,sauk,2018,2018/8/8,8,932
136,8,sawyer,2018,2018/8/8,8,243
335,8,shawano,2018,2018/8/8,8,454
1342,8,sheboygan,2018,2018/8/8,8,1907
117,8,taylor,2018,2018/8/8,8,167
88,8,trempealeau,2018,2018/8/8,8,144
182,8,vernon,2018,2018/8/8,8,288
220,8,vilas,2018,2018/8/8,8,361
981,8,walworth,2018,2018/8/8,8,1773
148,8,washburn,2018,2018/8/8,8,211
2028,8,washington,2018,2018/8/8,8,2685
6932,8,waukesha,2018,2018/8/8,8,9849
530,8,waupaca,2018,2018/8/8,8,696
189,8,waushara,2018,2018/8/8,8,281
1796,8,winnebago,2018,2018/8/8,8,2499
886,8,wood,2018,2018/8/8,8,1259
1319,11,adams,2016,2016/11/5,5,1390
985,11,ashland,2016,2016/11/5,5,1055
3186,11,barron,2016,2016/11/5,5,3388
1070,11,bayfield,2016,2016/11/5,5,1159
39804,11,brown,2016,2016/11/5,5,41244
530,11,buffalo,2016,2016/11/5,5,589
907,11,burnett,2016,2016/11/5,5,989
4868,11,calumet,2016,2016/11/5,5,5073
5942,11,chippewa,2016,2016/11/5,5,6243
758,11,clark,2016,2016/11/5,5,864
5764,11,columbia,2016,2016/11/5,5,5981
805,11,crawford,2016,2016/11/5,5,886
109055,11,dane,2016,2016/11/5,5,114165
6083,11,dodge,2016,2016/11/5,5,6326
3308,11,door,2016,2016/11/5,5,3581
4641,11,douglas,2016,2016/11/5,5,4871
2662,11,dunn,2016,2016/11/5,5,2878
13216,11,eau claire,2016,2016/11/5,5,13633
266,11,florence,2016,2016/11/5,5,294
9155,11,fond du lac,2016,2016/11/5,5,9649
490,11,forest,2016,2016/11/5,5,525
3354,11,grant,2016,2016/11/5,5,3534
2931,11,green,2016,2016/11/5,5,3096
1044,11,green lake,2016,2016/11/5,5,1135
2380,11,iowa,2016,2016/11/5,5,2463
544,11,iron,2016,2016/11/5,5,590
